			0	1	2	3	4	5	6	7
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	214		4	0						
can0	354		0	0	0	0	0	0	0	0
can0	218		98							
can0	4FA		8	0						
can0	671		2	0						
can0	552		0	4						
can0	5DE		4	0	0	80	0	0	0	42
can0	303		59	6	49	18	66	40	0	
can0	3FA		0	0						
can0	186		18	2E	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A4	4	BE	60
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	511		0	47	D0	5F	E0	B6	F0	
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	44	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	596		8A	19	8B	60	1A	0	0	0
can0	5DA		8A	61	40	0	D5	35	EB	0
can0	634		80	0	0					
can0	648		FF	FF	F0	64	C8	64	FA	1E
can0	65C		C0	57	0					
can0	66A		20	FE	0	1A	1A	C0	1F	2
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	7F	F6	80	0B	B0	C5
can0	1BD		0C	D5	0D	9C	0	0	1	6B
can0	29A		0	0	0	0	0	0	0C	F3
can0	2B7		0	E0	FF	FE	1			
can0	392		0	46	0	0	0			
can0	575		40	14						
can0	673		0	0	FF	FF	FF	FF	0	
can0	186		18	2E	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A4	4	73	70
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	3F7		8	10	4					
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	40	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	593		0F	FF	0	0				
can0	12E		C5	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	B2	B8
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	214		4	0						
can0	352		5C	0	0	0				
can0	657		0	0						
can0	3B7		38	FA	FF	8F	7F	46	FF	FF
can0	68B		F2	0C	E4					
can0	186		18	2E	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A4	4	0C	80
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	3C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	4F8		58	14	30	FF	FF	3	FF	0
can0	62C		0							
can0	1A0		F0							
can0	563		30	20						
can0	12E		C6	7F	FC	7F	D0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	B4	B6
can0	1BD		0C	D5	0D	9C	0	0	1	6B
can0	29A		0	0	0	0	0	0	0D	F2
